source,target,weight
JUN,IFI44L,7.492108853445669
JUN,LINC01389,7.48142695788076
JUN,SNX7,7.481207375711649
JUN,AGO3,7.477912826798974
JUN,SRARP,7.467100781512634
JUN,RLF,7.466691359595549
NFYC,LINC02574,7.462275082260943
JUN,IFI44,7.459941453527443
E2F2,RBBP4,7.450925671772936
FOXJ3,WNT2B,7.447264908873489
MTF1,RAP1GAP,7.445687403357606
MTF1,AGTRAP,7.433716428987649
MTF1,SORT1,7.431256415595903
E2F2,POU3F1,7.42419003726049
ID3,GRIK3,7.421545742970889
JUN,CLCN6,7.421206111590537
TFAP2E,MKNK1-AS1,7.416352668948993
ENO1,RCC2,7.414206327149932
ENO1,EVA1B,7.399395919405211
E2F2,CDCA8,7.398100682158497
NFYC,LINC01364,7.393999298723659
NFYC,BMP8B,7.392847566955402
HES4,FOXD3-AS1,7.381077364197089
JUN,ALDH4A1,7.371426115158518
HIVEP3,DPYD-AS2,7.358694837708272
JUN,PGD,7.334877815001506
JUN,CNKSR1,7.317645350089056
YBX1,POU3F1,7.313729034344058
JUN,THEMIS2,7.3120067025613995
E2F2,YBX1,7.310420848753786
YBX1,NBL1,7.3029503867178605
FUBP1,SSBP3-AS1,7.299685540510896
ZNF683,TOE1,7.290351133393146
ID3,LAMTOR5,7.290054873552905
HIVEP3,EXOSC10-AS1,7.277613730145182
MTF1,GPBP1L1,7.262867149701256
JUN,CASP9,7.255544389072959
E2F2,CDC20,7.2473100487873685
ENO1,UROD,7.244918482641428
MTF1,PRKAA2,7.2411082218011185
ENO1,SRRM1,7.237025754115364
JUN,ADGRL2,7.2362116954535445
JUN,TTLL10,7.232339483716404
MTF1,ARID1A,7.2308955553968515
MTF1,HCRTR1,7.227080961686662
JUN,GNAT2,7.215436450968017
HIVEP3,PDPN,7.206686343085988
GFI1,ASB17,7.166973295369725
ZNF683,IQCC,7.161133951688235
GMEB1,CNN3,7.146077609129777
TP73,FRRS1,7.144157916713387
E2F2,SSX2IP,7.136909430350821
ENO1,RSBN1,7.129645571241869
JUN,CTH,7.1230774652137425
TP73,ZSCAN20,7.117775102902346
JUN,SH3GLB1,7.110032136605714
YBX1,TEX46,7.108343862934871
ENO1,LSM10,7.099537062639847
GFI1,SLC1A7,7.086259353435658
ENO1,TSPAN2,7.08397273554759
MTF1,PTGFRN,7.081646419624409
JUN,CTPS1,7.079130395515209
ENO1,TMEM59,7.07666930732154
GMEB1,EPHA2,7.076049787480547
JUN,NPHP4,7.069805375160213
JUN,EPHX4,7.0597908493803105
JUN,FUCA1,7.057589562895631
E2F2,SASS6,7.049633821085073
