"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"SAM4b0175e8db6e",0.250429395994048,-0.831919120598407,-0.525569816603929,-0.243688634154906,0.151355844242346,-0.672177867155768,-0.344076024559388,-1.1567907181677,0.454216398238587,0.641099574643529,1.16696082130245,-1.14161965048952,-0.172706011082807,0.603755842520751
"SAM54e58f1b0230",-1.46980662064001,-0.681078768308866,-0.30962353373172,0.875044944155895,-1.99687661125338,0.779023132864584,-0.567722848064308,0.0224051661304268,-1.31099922942922,-1.84241515304026,-1.69003398048575,0.864901970933792,-1.2416282942232,-0.813703840902258
"SAM5e3bae090b8c",0.791387637350797,-0.586544137507402,-1.62070704019274,1.23269806712274,2.2390713898042,-0.0471824118627685,0.00385547699607293,0.396003777526605,-0.403295031564188,0.654807162169363,-0.0147229331780476,0.474439664702791,-0.0792154005860039,-0.00465304090750723
"SAM3cb94b0d5297",1.0564085312307,-0.0027120704640509,-0.67195996885687,-0.93861450031416,0.51767615600617,-1.34650341601427,0.130237555118337,-0.784450028795959,-0.317425571374427,0.0178928096858756,1.10037424454684,0.0217187910701178,-0.801379512693249,1.52665416786856
"SAMcb132b0cdd2c",0.323488339658977,-0.906776252561378,-0.0775126784428923,0.0695190198783504,-0.035445305053928,0.162020981231298,1.47257217408531,-0.807206912254573,-0.189575787272174,-1.23519207139712,0.715601944555272,-0.280462090082073,-1.07693281077103,-1.5570173676286
"SAMe97af0feefdf",-0.886500843149412,1.05261399479694,-0.928730604715187,-0.01534812559438,-0.598191296923278,0.723664038290537,-0.6317199918561,-0.746122614984045,-0.170204928032124,0.401210663586227,-0.432413910103692,0.772968791273238,1.28342036206652,0.363589929605606
"SAMee3844cc0b9f",-0.410269322817845,0.434366705569892,0.391038659262475,0.393216638192087,1.65699202219671,-1.54042313405581,0.880295648246134,-0.0783280741376692,1.72842000241572,0.198645414875154,1.15955336404742,-0.430436094701263,1.05680692585513,0.728300318099652
"SAMdad5c29dc105",-0.493326990272717,-1.1506773387834,-0.204673645105203,-0.787952905061953,-0.391893924138562,0.798446010968242,-0.861725699849712,0.098002841986893,-0.0518791015157041,-1.05363393017127,-0.892925903748436,0.912476709185832,0.486997236735273,-1.09827810340695
"SAMa424c75831b4",0.699623464415358,-0.741401346118672,0.405539451332985,-0.830501855304215,0.500165311941632,-0.0758324179124473,-0.78735137662177,0.168199124389292,-0.356029908947903,-0.12223451589172,-0.593093102212686,0.332321683060509,-0.824536224696075,-0.791724060706486
"SAM45c8e6412c66",-0.692849128324332,0.741952193434451,1.51254580199653,-0.010077594947495,1.50952329157433,1.7632428014768,0.407474381443257,-0.380144633090489,0.223947422961861,1.57811625975948,-0.638271149806228,1.37059101505315,-0.388986579204418,-1.28357906636395
"SAM73663ee4a96e",-0.747037666863067,-0.137319953628637,-1.17418691839696,-0.260409974721704,1.9299320487949,-0.903446890409542,0.694401623779484,-0.675452435148347,0.41913639303973,-1.16221859772792,0.195283298902224,0.0306501765156081,1.0307725182908,0.374966942363111
"SAM0bdb3428bd13",0.860466051881584,1.24059663165486,-1.32160145932624,-0.0673502662759094,-0.60964728343963,-1.31162694035003,-0.725602854303821,-0.930550765767511,2.0307538123271,0.482606669154297,0.249913086872498,0.543546384314185,-0.0907500951837727,0.943727177007933
"SAM3330c03fdf00",0.449616218916875,-0.969049042608846,0.832649499045698,-1.44552663602629,1.11485388058588,-0.801521507962525,1.51659122346648,-0.796508831831955,-1.05101792426917,-1.12262204157652,2.13454641853987,-0.626580832494446,1.14921658348955,-0.728613175580933
"SAM0a7c2091dd56",0.109164277093153,2.2346796351442,1.30087787885918,1.61921139279045,-0.0641542113082812,1.14642012577217,0.16290871086484,1.2495340569803,1.30043522689391,1.47325552463029,-0.702312442988272,0.840605502531401,-0.579689121609375,0.129523770573977
"SAM5d1dfd5207f5",-1.74855326349553,-1.02213761062467,-0.754051838122051,0.384453747645283,-0.899165399486591,-0.161641080344823,-2.09379148545098,-0.278410143528058,-1.0564360060518,-0.960485700546478,-1.72644381233626,-0.19972254381657,0.0237278033277352,0.619542866692352
"SAM99a46b9eec27",0.589387008613202,-0.315997827086301,0.0424667669693676,0.0323306042965484,1.16690299070197,-0.856647776082606,0.172003039484443,-0.819880508283418,0.741337764538115,0.882185641516074,1.28968918445503,-0.708935425913374,2.15247522344184,0.400568301402014
"SAM1ac4e3dee297",0.0216729223082373,0.694938403889213,-0.838174810537444,0.098129410693688,-1.12903034692378,-0.221299873348807,-1.18335051208002,0.185468824290061,-1.1229369082854,-0.893863105091319,-2.20681382930068,0.393962142455402,0.0149919465423827,0.983014018845484
"SAM553c3c35b847",0.210613650167865,1.27754710903078,0.469933453070025,0.585912921307438,1.7139875841696,0.0929889389280395,2.09970736207264,0.176543185914125,0.808085089618661,1.59103236525754,2.21674566208435,0.226214332496518,0.760227129507038,0.315926471124168
"SAMc2a1820d4e6b",1.23421571983548,0.439437885571225,0.307606144578199,-0.786436106690031,0.969272537227709,-0.984773840980493,0.941529341726208,-1.23218293429232,0.172233975134155,-0.549452859798134,1.67009664825432,-1.50577787917344,0.496384564481015,0.761655983166135
"SAMabc151b01ea3",1.76186028682618,0.738579921127065,0.593997950983043,0.409158878784554,-0.76732838112618,-0.702068338387684,-1.12470272680261,-1.58211718596196,-0.427399036783526,1.61975438365019,-0.416422300385623,-1.43104917708311,-2.27805418063374,-0.100327481642998
"SAMe1eb5d988760",0.357585746583579,-0.313436520848159,0.287534021643839,-1.13948603506064,1.36201854891893,-0.165302193796667,0.410265938610013,0.243902703454864,0.47126607283834,-0.0861926559777796,1.30253142912264,-0.780061544786935,1.74831505953389,-0.896947388489621
"SAMe3210d3632b4",0.119621585277644,1.5461219003565,1.77160304341835,1.80763860109599,1.42271612094077,1.07232026000513,0.238703026590826,1.25791731135899,1.55213926018806,2.53234055564869,0.371177260487378,0.137501888938938,0.530090330668951,-0.175132347019358
