"","SAMd027124354ce","SAMbf1a3ae828e6","SAM2e9ac0b1b250","SAM30b5c6c54cf7","SAMd35318127278","SAM560f23d6a3ad","SAM73663ee4a96e","SAMc2a1820d4e6b","SAMe1eb5d988760","SAM8a1b0e02ee42","SAMd7d57ee3a863","SAM065890737112","SAMb470eb8f04be","SAM203dcf14f927","SAMd3bd67996035","SAMd3601288319e","SAM670649e105b5","SAM3b15b4c6311d","SAMeaa477a5384b","SAM25510f300d79","SAM771445e92421","SAM6f2a102a99df","SAM6ff654a20f98","SAM31d9176e11fb","SAM572f19794c96"
"BATF",-1.47849585454091,-1.30576526970957,-1.15293456009481,-1.44423865411678,-1.30972398133499,-0.101082942373847,-1.15894464489697,-1.16559495372052,-0.854370553729634,-1.88549615004379,-0.49820309184,-1.20721392145055,-1.61799171809579,-0.956440438996979,-0.736452362865903,-0.836090074665779,-1.44634996320078,-1.13029130732968,-1.00705664505443,-2.11000353466247,-0.891141048391712,-0.837962751025001,-1.73852788962251,-1.30758362333972,-1.10187487708439
"BCL11A",-0.374055596476972,1.37264916231519,0.75029980393111,0.67641871980986,0.721915836557536,0.680861696851166,1.07233523679687,0.728370969619535,1.33570620474553,0.495407040666823,0.995058049579695,0.980852335162317,1.62672760921926,0.901211022884532,1.50490126399566,1.27559591519925,0.314279274654068,-0.0326412469022754,0.517161171714364,-0.138283380661851,0.563137493907759,0.248996255013889,1.30278691075398,0.146319783777891,0.956725637457436
"BCL11B",-1.10296595544425,-0.902203616038909,-0.552550804772565,-0.413661922710633,-0.389142905267305,-1.15714738373683,-1.04339050455754,-0.278773085882071,-0.675579859301366,-0.966216954873092,-0.755000402820662,-0.773504583566433,-1.01806714870431,-0.73224346165361,-0.759008604448486,-0.565543087829664,-0.927241533586159,-1.26338810660122,-0.23393694473301,-1.15534052900729,-0.549915811459128,-0.60192431024635,-1.14854101917852,-0.834672158893889,-1.19968073028398
"BCL3",-0.993606143518977,-0.692834500949042,-0.471573610074656,-0.684600444541871,-0.502626775486152,-0.817271128183737,-1.19015684161341,0.0881106992887005,-0.840296475810796,-0.805814637318953,-0.342487021507775,-0.817430292447644,-0.856566879207102,-0.693554556516424,-0.869581806836997,-0.719279018273012,-0.549765406092433,-0.523886446937082,-0.493966455509055,-0.874516145561755,-0.275427123553335,-0.756911262955169,-1.1081770286677,-0.837991371167504,-0.505216042751788
"BCL6",-2.93746995157909,-2.02563609371595,-3.09019174177947,-2.42497181025825,-2.4263712138471,-2.47705465957391,-2.34428707694342,-1.88335381752087,-2.08141517929903,-2.97909324211355,-2.1338662998825,-2.35639989228101,-2.08601040734817,-1.96551280839361,-1.39104659538543,-2.01585005520901,-2.19163425520327,-2.91280054785897,-1.89972744545204,-2.90120417082858,-2.22438197897842,-2.34550280905592,-2.35938262767961,-2.29454899803896,-1.76887874223081
"BCLAF1",-0.154757144654758,0.00177803059933852,-0.409039674564275,-0.0921097948877948,-0.671358546664846,-0.56285082760658,-0.341229514894816,0.060201402413017,0.0071009563506333,0.19537048159393,0.123598389360638,0.0150348902155458,-0.184059158282192,-0.238635050838712,-0.147273017344318,-0.309900826268802,-0.247691241924087,0.0238625172532693,-0.0211358623866033,-0.407887215389745,-0.034056641782105,-0.264877605593989,-0.37178609706748,-0.114999540347435,-0.265751416749585
"BCOR",0.295472221352054,-0.00806161628948936,0.0989004998561232,-0.0754000221172541,-0.0843140560881026,0.658810802794705,0.676477563194006,0.246465895818229,0.0715618374714737,-0.193796353164223,0.178321345583557,0.175807995864422,-0.154963880542719,-0.119840422457896,0.471676237306797,-0.0985080659462397,0.10499403184309,0.215454779286258,-0.302298158190262,0.00932111494902696,-0.147922815711143,-0.0815108299667811,0.175138894764832,-0.0509095956341497,0.309813834132732
"BHLHA15",-0.213110371124155,-0.0500932521348445,-0.180623156039996,0.371317837275993,-0.20517692878712,0.740271525612477,0.20440433787457,-0.253589080907965,0.164979420614175,-0.531784634434242,-0.0131355262277246,-0.569811984880684,-0.256916764526785,0.497510312534555,-0.130638836805068,-0.551547265512268,0.863658559821008,0.538585572817798,0.0053929856598098,1.01356296365432,0.100043383333527,0.821326581672804,-0.0392417040121116,0.767602401642873,0.070222553744579
"BHLHE40",-0.863576908929496,-1.89444742211705,-1.05125125874302,-1.60935632342403,-1.48616381889935,-2.52449043098041,-2.36868211742754,-1.91001856776904,-1.96461666848533,-0.775715937141036,-1.31060043076052,-1.74618819400673,-1.85246227540912,-1.5741831814099,-1.35667496023601,-1.95768126665316,-1.83682596883373,-1.52593793976098,-1.68642205862094,-1.1167677212751,-1.44603006343063,-1.07656814457934,-1.22057360761918,-1.92836160602343,-1.72694784736493
"BHLHE41",-1.74517068801351,-1.77976771929885,-2.15210100483646,-1.79490858098633,-1.72640958159005,-2.44395755621859,-1.87629576135704,-2.05042669856963,-1.86616193956306,-2.15990225844087,-1.32600406114029,-1.85229546630787,-1.43811878366761,-1.65441251052414,-1.83913843261802,-1.6217428650629,-1.95419191522709,-1.91965821561689,-1.92923239223608,-1.64706063943301,-1.70803348574744,-1.79763352917003,-1.75435276025321,-1.59704700020173,-1.83585689593361
