"Bridge"	"connecting Chromaffin cells"	"Neuroblasts"	"cycling Neuroblasts"	"SCPs"	"cycling SCPs"	"Chromaffin"
"RP11-267N12.1"	0.166216313302551	1.18922885450532	0.891522845152903	0.90329830104835	0.0483952960916708	0.0482168902040464	0.558181002485111
"GNAS"	3.38937907382953	10.5023005351518	4.54714630742068	6.40414002032003	2.48037506624183	3.3971571088782	15.6977292070471
"CNTNAP5"	1.51426962441486	0.508523220047078	0.275257942686473	0.63786199014256	0.0709372397739499	0.035737738391628	0.616769809140551
"SLC38A1"	0.0602674333697931	0.520984628792304	0.766212208595755	0.817948441986096	0.047954297687497	0.115404168236235	0.290013932781765
"ARHGAP26"	0.576014740803241	1.01674442542148	1.66343166845243	1.24402272816952	0.926490095595873	1.30159798377754	1.18234906296498
"PTPRM"	0.441685547337603	0.360494529592336	0.952604370986046	0.86782555649249	2.33621235096727	2.81063821874453	1.17143060400563
"DCLK1"	0.829210476939109	1.04008363725736	1.93417920959548	1.71809929018408	0.198515256984601	0.371127803090339	1.59457331694154
"TIMP3"	0.535777380720682	0.823052831224499	1.3574029207532	1.3371724372551	2.08504983948908	2.37968965571123	0.794410904933635
"LAMA3"	0.0981806212849167	0.618227963066658	0.291382687047096	0.819393205844315	0.0671266375547224	0.0670580856975566	0.692978422929058
"XKR4"	0.0874659021999262	0.0720768999546696	0.652115311959231	0.458828919918998	4.50099240268917	4.15093016900332	0.227061333327766
"KCNB2"	0.102266182887114	0.0903905185551366	1.27295188052719	1.21537660743446	0.0489094909813814	0.0702942982290177	0.376168926557255
"BACH2"	0.102054208883384	0.105178415665365	0.774157923413249	0.891685823652531	1.16673169163738	2.22049329537835	0.0969748841873963
"TH"	0.352394520451437	1.95374579634745	0.446438042026082	0.579656731907198	0.144027751034859	0.10829826229823	6.0931451445785
"ANK3"	0.356966796975761	0.333665411608303	1.41590568212303	1.27560700314542	1.33330888163398	1.71845950672956	0.328144980542727
"PLXNA4"	0.497339220503297	0.529106550176042	3.63187043459378	2.367196050862	0.813150085372596	0.747283308760163	0.403183638227447
"AC037445.1"	0.413097982619891	2.02264896816458	1.31740374854086	1.55838604646679	0.199809877759744	0.249243839016951	1.74213639802387
"LAMA4"	0.181075666843721	0.100843914098259	0.449365062964801	0.389218085241672	1.70927417752905	2.06102897907078	0.0791197491220877
"GCH1"	0.219559844213564	0.548215424612849	0.501308613804329	0.40895560769224	0.069090296147088	0.0986844582659732	2.51289532528325
"MYT1L"	1.2137363161256	1.93415663744198	2.44516206556309	1.97576834356759	0.100738872427949	0.0711267732704618	1.5425273631142
"GALNTL6"	0.622284626942428	2.16819031987488	0.631322223339684	0.466874175338915	0.185867828378581	0.322613318932347	2.18597271377607
"SEPT6"	0.509526150325684	0.903857024625926	0.959763497131945	0.986355272698844	0.298806637897803	0.42545552460411	1.18908012869675
"CTC-340A15.2"	2.59807916643305	0.224397834636204	1.00211249839929	1.25466364907788	0.31524987690878	0.294513953697482	0.839084862105227
"ZNF608"	0.462632121258661	0.75080100288501	1.06954880219268	1.16667749301301	1.01868060026455	1.86544668634967	0.653749563657722
"RAP1GAP2"	0.204741859554456	0.483257505753008	0.877039930332958	0.793298315946758	0.0833870843397135	0.0605332785739795	0.646052064522
"PTPRD"	1.09516727979264	0.556426203608598	1.8842259447277	1.93916499148845	2.65713295237823	4.73566981983594	1.54559661352456
"SEMA6D"	1.11080993770401	0.719673031112206	5.28054736710266	4.44105145088772	0.740802106799656	1.10057670324637	0.581017854611809
"FDX1"	1.00713116051414	1.40677381883931	1.56850081912857	1.36729347670294	1.65535614587863	1.3307300983804	1.52894077367229
"HSP90AA1"	1.37725981854676	2.13081831860635	2.59538849248448	3.37308541870253	2.37218341408636	4.89807495386431	6.08223096562475
"FRMD4B"	0.147758603108956	0.555129299279941	0.631695699399939	1.00260892804763	0.171187693786775	0.348984786574558	0.439001494711702
"CYP17A1"	0.993661003710968	0.634817722700801	1.49183488201969	1.39402811679306	1.29788130741819	0.954902018983191	1.72214936548628
"STXBP5L"	0.117664574644524	0.308152594670353	0.637437459099315	1.01664144124474	0.0539693961864883	0.0577822786712241	0.42614638210511
"SGIP1"	0.591120220522565	0.828651921956834	1.49527217351956	1.21257000040718	0.167195594591989	0.34905529423578	2.50098864309138
"DTNA"	0.293609403650455	0.292031940840351	1.21845110732585	0.849210258808214	0.405872476985766	0.464922088348377	0.286502810981952
"CYP11B1"	0.474036818234837	0.196546897984322	0.830117190480776	0.839404624890508	0.764249097334281	0.640476996242983	0.780997027502478
"RAMP1"	0.196753782116041	0.558025081913399	0.378592908970759	0.563020389879538	0.0789243819069592	0.0334253015460561	1.28357466580073
"MAPT"	0.15485935306378	0.362261862322678	1.00567340179108	0.763084051720794	0.0546913309971782	0.0518201780258908	0.229947870183596
"STAR"	1.37755217369555	1.08620059012706	1.61920417031678	1.59314519163925	1.65967350743373	0.892340773209691	1.54482525665957
"NCKAP5"	0.144674014977759	0.366839763163272	0.741907656878821	0.410015790159087	0.144483883021631	0.223531472974208	1.28830774379963
"NELL1"	0.570932285878631	2.09539209208004	2.11385948174626	2.40362208598915	0.0849686849081337	0.0739893840334875	1.0230125845035
"DOCK4"	0.918472363046015	0.897897697568082	2.31004335302434	2.37314576976643	1.03162405131528	1.51205203734524	0.543829709901867
"BCL2"	0.766714577918751	0.747650407387088	2.51802418647463	2.17319285319185	1.10915098243262	1.45071834835539	0.597106555391062
"AGBL4"	2.39427575835291	4.12316507382218	2.02936582314409	3.81844157086838	0.209768862432132	0.282224240881568	8.11005574769294
"HS6ST3"	1.68078389600281	1.30627726167771	0.675160313087902	0.576749078783944	3.08568717433426	5.5605362988897	3.77718995359816
"CHGB"	1.70739649768601	1.67646888363366	1.94737103972777	1.74718121140119	0.37977077323621	0.346399263336956	4.94864226219708
"PCDH11X"	0.499295005353424	0.169990621553966	0.160373870416606	0.173708407092359	0.25870761489202	0.668300530505583	0.228248103578636
"UTRN"	0.336322448967477	0.425148887184825	0.856242370773462	0.685820094129906	2.05437764154218	3.69388323894571	0.298134913173122
"GRID2"	0.952786643132252	0.308814798468156	0.584303434866066	2.00833292610037	5.70363682593358	12.6650639511032	1.41372638719015
"SCG2"	0.124974850969289	0.18278185543494	0.463461795062817	0.509199496924507	0.0742739656938584	0.0593109339997951	1.18725688204012
"DBH"	0.985454644394475	2.54222573021869	1.13678722030804	1.09894613897683	0.212616487864386	0.170843362528452	3.91360296947659
"CAMK1D"	0.465926062623235	0.515654463397589	1.19846318615836	1.62061835110875	0.319732840266853	0.78685594021099	0.67662690494746
"SH3BP5"	0.398745714062363	0.333601416665459	0.587633555761156	0.491586997188506	0.585821637760544	0.388017730090905	0.45086470320815
"RP11-40F8.2"	0.264321825529603	0.109760750631145	1.42655387135984	1.34453814618969	0.194813888382204	0.365765645067088	0.147074983374547
"CYTH3"	0.366527037022605	0.887629379983041	0.338986762079241	0.326369811532962	1.14500842417445	1.22005957141348	2.32257228874713
"CELF2"	0.258186898706002	0.261440380402917	0.0982871277017638	0.162219780862342	2.67611899177001	4.45475923847216	0.536453865188246
"UNC5D"	0.273409672409302	0.301717948142215	1.13978913042161	0.713278760174642	0.107494346229008	0.301448652758041	0.490276591411254
"RBM47"	0.566361471890239	0.467440629412022	0.564612941666346	0.64125873513297	0.543058174063561	0.744738784147919	0.564063218090906
"ZNF331"	0.11936127434018	1.30898550805207	0.256205492337174	0.493836634920926	0.1499266172859	0.571237350787687	3.55763641135083
"SIK1"	0.186910756909076	1.10053126768516	0.369738671120004	0.288151153692303	0.0873245763315464	0.236079527740579	2.1963949381125
"ATP1B3"	0.382109875831863	0.454741785914684	0.453201801159105	0.704843388206906	0.599161171092778	1.31317957490633	1.91777133136583
"STARD13"	0.633011451103069	0.972869845484239	0.283480092291954	0.448165219483364	5.33631421620427	8.07680895001779	0.958209631100465
"RPL13A"	0.848175644410797	0.664816772315311	0.946637057322314	0.899578716499849	1.11053179699375	1.0154151487958	0.784691325969116
"PAM"	1.3137427967421	1.7867624956041	0.990548325386202	1.15386174320767	0.98381106531432	1.48439507346581	7.15150441575842
"HBG2"	1.57728995561016	1.18625518364899	2.08876376846056	2.2591378276149	2.80473142074557	3.78745447294468	1.90549684800169
"RP11-39M21.1"	0.347068595260902	0.432721383999088	0.966697128847588	1.04122518784483	0.227452782186487	0.427336308606152	0.363028180095409
"PAPSS2"	0.31504111907055	0.402092967554384	0.496909274589738	0.449759714557757	0.486967802019189	0.921388458055877	0.47016233133812
"SOBP"	0.826370885585768	2.83367763782668	1.027231062031	1.5194398957182	0.195171896035144	0.221327924310482	3.52622601446068
"FRAS1"	0.292770670945783	0.1529304348339	0.053502291161382	0.10375463925785	1.85887276294988	1.99583160871824	1.21042570138653
"ALK"	1.68747732415892	2.29326172702701	4.87188337123776	6.21545170461808	0.577309767268371	1.12600086903797	1.26167224032424
"PRUNE2"	0.172624376304378	0.370233418614261	0.85291423566337	0.394621989581516	0.0679882981547795	0.122978980088271	0.586652817181689
"ZDBF2"	0.295207664968346	1.16603582651185	0.484030543671608	0.496404838484833	0.173609376822672	0.34263179508758	3.83028603048339
"APOE"	0.948354552152981	0.602110922908209	1.3678562614976	1.23948228534623	1.90109467238964	1.26152361601984	1.5177958682527
"NRXN3"	0.511599561771354	0.150890991894177	0.193102399452938	0.362237596104044	6.11427687517753	6.90027156086938	2.08622659750808
"PDE10A"	0.514107450296805	0.942475348661939	0.638958514224598	0.763259301441712	0.844096161945595	1.56921711410607	4.57632856660721
"CDKN1C"	1.42774124360616	3.7990553979652	0.669083403898518	0.878007840490796	0.674599075396927	0.7768584828334	4.34436158865483
"CDH13"	1.11209034553716	2.05899230586358	0.256806120428734	0.348451504611886	0.479946401445234	0.801525891343069	1.3889700377144
