NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
CYP19A1	0.420946411009563	0	0.00668168906364386	0.0200450671909316	0	0	0	0	0	0	0	0
GLDN	0.320721075054905	0	0	0.00668168906364386	0	0	0	0	0	0	0.00668168906364386	0
DMXL2	24.9561086527098	0.0334084453182193	0.267267562545755	3.68829236313141	0.0334084453182193	0.100225335954658	0	0	0.0801802687637263	0	0.0400901343818632	0.046771823445507
SCG3	202.368316670582	0.0133633781272877	0.487763301646002	0.227177428163891	0.0601352015727948	0.0868619578273702	0	0.0935436468910141	0.0200450671909316	0.00668168906364386	0	0.046771823445507
LYSMD2	31.7981582538811	0.314039385991262	5.08476537743298	2.67935731452119	0.928754779846497	0.41426472194592	0	0.00668168906364386	0.180405604718384	0	0.160360537527453	0.360811209436769
TMOD2	67.0975215771117	0.0133633781272877	0.821847754828195	0.307357696927618	0.113588714081946	0.0601352015727948	0	0.0133633781272877	0.167042226591097	0	0.00668168906364386	0.387537965691344
TMOD3	28.9317136455779	0.400901343818632	5.07808368836934	2.07800529879324	0.594670326664304	0.70825904074625	0.046771823445507	0.00668168906364386	0.187087293782028	0.0267267562545755	0.106907025018302	0.681532284491674
LEO1	39.9698639787176	0.113588714081946	1.46997159400165	0.561261881346084	0.193768982845672	0.253904184418467	0.100225335954658	0.0200450671909316	0.106907025018302	0.00668168906364386	0.0133633781272877	0.0868619578273702
MAPK6	46.3842854798157	0.0868619578273702	1.36974625804699	1.49001666119258	0.146997159400165	0.300676007863974	0.046771823445507	0.0133633781272877	0.0801802687637263	0.00668168906364386	0.00668168906364386	0.0668168906364386
BCL2L10	0.982208292355648	0	0	0	0.0133633781272877	0	0	0	0	0	0.00668168906364386	0
GNB5	40.2037230959451	0.17372391565474	3.26734595212185	0.20713236097296	1.07575193924666	0.140315470336521	0.0133633781272877	0.0133633781272877	0.133633781272877	0	0.126952092209233	0.0734985797000825
MYO5C	0.594670326664304	0	0.247222495354823	0.0267267562545755	0.00668168906364386	0.0133633781272877	0.00668168906364386	0	0.00668168906364386	0	0.00668168906364386	0.0400901343818632
MYO5A	25.4305085762285	0.0935436468910141	1.18934065332861	1.67710395497461	0.113588714081946	0.0668168906364386	0.0133633781272877	0	0.240540806291179	0	0.046771823445507	0.17372391565474
EEF1B2P1	0.0200450671909316	0	0	0	0.00668168906364386	0	0	0	0	0	0	0
ARPP19	160.213540368053	0.514490057900577	6.22733420731608	2.58581366763018	0.982208292355648	0.621397082918879	0.046771823445507	0.0868619578273702	0.374174587564056	0.046771823445507	0.106907025018302	0.427628100073207
FAM214A	13.8778681851883	0.167042226591097	2.79962771766678	0.320721075054905	0.654805528237099	0.140315470336521	0.00668168906364386	0.0133633781272877	0.0534535125091509	0.0601352015727948	0.126952092209233	0.167042226591097
ONECUT1	0.167042226591097	0	0	0	0	0	0	0	0.00668168906364386	0	0	0
WDR72	1.7973743581202	0	0.00668168906364386	0	0	0.00668168906364386	0	0	0.00668168906364386	0	0	0
UNC13C	0.988889981419292	0	0.0400901343818632	0.0200450671909316	0	0.0267267562545755	0	0	0	0	0	0.00668168906364386
RSL24D1	237.286823717184	1.1425688298831	22.1097091115975	5.13153720087849	3.77515432095878	1.47665328306529	0.0668168906364386	0.113588714081946	0.534535125091509	0.140315470336521	0.46771823445507	0.427628100073207
RAB27A	7.19617912154444	0.574625259473372	4.40323309294131	0.554580192282441	0.20713236097296	0.153678848463809	0.00668168906364386	0	0.0267267562545755	0.0267267562545755	0.00668168906364386	0.0734985797000825
PIGB	3.13371217084897	0.0601352015727948	0.708259040746249	0.193768982845672	0.247222495354823	0.0935436468910141	0.00668168906364386	0	0.0267267562545755	0	0	0.0133633781272877
CCPG1	7.75075931382688	0.0534535125091509	0.808484376700908	0.975526603292004	0.113588714081946	0.454354856327783	0.00668168906364386	0	0.0334084453182193	0.0801802687637264	0.00668168906364386	0.140315470336521
C15orf65	5.55916530095169	0.00668168906364386	0.0668168906364386	0.0400901343818632	0.0400901343818632	0.0200450671909316	0	0	0.0133633781272877	0.0133633781272877	0	0.0267267562545755
PYGO1	10.2296659564388	0	0.0334084453182193	0.0133633781272877	0.0200450671909316	0.106907025018302	0	0.00668168906364386	0.00668168906364386	0	0	0.0200450671909316
PRTG	11.1383756690943	0.00668168906364386	0.0267267562545755	0.0400901343818632	0.0334084453182193	0.0534535125091509	0	0.00668168906364386	0	0	0	0.046771823445507
NEDD4	8.84655632026447	0.0133633781272877	0.267267562545755	0.0534535125091509	0.0200450671909316	0.146997159400165	0	0	0.00668168906364386	0	0	0.227177428163891
CNOT6LP1	0.0200450671909316	0	0	0.00668168906364386	0	0	0	0	0	0	0	0
RFX7	27.2746547577943	0.106907025018302	1.10916038456488	0.367492898500413	0.160360537527453	0.187087293782028	0.0200450671909316	0.0200450671909316	0.0334084453182193	0	0.00668168906364386	0.126952092209233
TEX9	6.641598929262	0.00668168906364386	0.12027040314559	0.0534535125091509	0.146997159400165	0.100225335954658	0.0133633781272877	0.00668168906364386	0.00668168906364386	0	0	0.0267267562545755
MNS1	7.55699033098121	0.00668168906364386	0.0668168906364386	0.100225335954658	0.00668168906364386	0.0734985797000825	0	0	0.0267267562545755	0.0133633781272877	0	0.0133633781272877
ZNF280D	38.0589009065154	0.100225335954658	1.50338003931987	0.601352015727948	0.233859117227535	0.360811209436769	0.0200450671909316	0.00668168906364386	0.146997159400165	0.0267267562545755	0.0534535125091509	0.287312629736686
TCF12	50.9077889759026	0.146997159400165	2.1782306347479	1.44324483774707	0.347447831309481	0.58798863760066	0.0334084453182193	0	0.253904184418467	0.0133633781272877	0.046771823445507	0.407583032882276
HNRNPA3P11	0.0267267562545755	0	0	0	0	0	0	0	0	0	0	0
LINC00926	2.79962771766678	0.0133633781272877	0.0935436468910141	0.0935436468910141	3.20052906148541	0.0133633781272877	0	0	0.0200450671909316	0	0	0.0200450671909316
CGNL1	2.95998825519423	0	0.0133633781272877	0.00668168906364386	0.00668168906364386	0.180405604718384	0.00668168906364386	0	0.00668168906364386	0	0	0.140315470336521
MYZAP	0.474399923518714	0	0.0133633781272877	0.0334084453182193	0.00668168906364386	0.0200450671909316	0	0	0	0	0	0.0200450671909316
GCOM1	0.200450671909316	0	0.0200450671909316	0	0	0	0	0	0	0	0	0.00668168906364386
POLR2M	19.6174390908584	0.220495739100247	1.76396591280198	0.400901343818632	0.300676007863974	0.17372391565474	0.0133633781272877	0.00668168906364386	0.0400901343818632	0.00668168906364386	0.0200450671909316	0.0935436468910141
ALDH1A2	3.46111493496752	0	0.0133633781272877	0.126952092209233	0	0.0668168906364386	0	0	0.00668168906364386	0	0	0
AQP9	0.17372391565474	0	0.0267267562545755	2.04459685347502	0.00668168906364386	0.0133633781272877	0.0133633781272877	0	0	0	0	0.00668168906364386
LIPC	0.113588714081946	0.0133633781272877	0.0868619578273702	0.00668168906364386	0.00668168906364386	0.0200450671909316	0.00668168906364386	0	0	0	0	0.00668168906364386
ADAM10	27.1343392874577	0.3808562766277	3.73506418657692	2.24504752538434	0.474399923518714	0.427628100073207	0.0734985797000825	0	0.200450671909316	0.0267267562545755	0.0534535125091509	0.494444990709646
RN7SKP95	0.0400901343818632	0	0	0	0	0	0	0	0	0	0	0
RNF111	21.6286274990152	0.0601352015727948	0.888664645464634	0.621397082918879	0.213814050036604	0.240540806291179	0.0133633781272877	0.0133633781272877	0.106907025018302	0.0133633781272877	0.00668168906364386	0.113588714081946
SLTM	96.2630943399171	1.0356618048648	10.4902518299209	2.65263055826661	1.59024199714724	0.734985797000825	0.0868619578273702	0.0200450671909316	0.334084453182193	0.0400901343818632	0.140315470336521	0.400901343818632
CCNB2	48.3219753082724	0.0334084453182193	0.714940729809893	0.160360537527453	0.394219654754988	0.0801802687637264	0	0.00668168906364386	0.00668168906364386	0	0	0.0334084453182193
MYO1E	1.89091800501121	0.00668168906364386	0.17372391565474	1.20938572051954	0.140315470336521	0.360811209436769	0.0200450671909316	0	0.12027040314559	0	0.0601352015727948	0.3808562766277
FAM81A	1.85750955969299	0	0.0267267562545755	0.0334084453182193	0.0601352015727948	0.0334084453182193	0.00668168906364386	0	0	0	0.0200450671909316	0
GCNT3	0.233859117227535	0	0.0334084453182193	0.00668168906364386	0	0.00668168906364386	0	0	0	0	0	0
GTF2A2	171.458823062165	0.608033704791592	9.01359854685557	3.8686979678498	1.37642794711064	1.34970119085606	0.0334084453182193	0.0334084453182193	0.521171746964221	0.046771823445507	0.240540806291179	0.547898503218797
BNIP2	23.152052605526	0.414264721945919	4.9043597727146	2.6659939363939	0.714940729809893	0.46771823445507	0.0200450671909316	0.00668168906364386	0.167042226591097	0.0133633781272877	0.140315470336521	0.541216814155153
RPS3AP6	6.51464683705277	0.0133633781272877	0.748349175128113	0.100225335954658	0.0601352015727948	0	0	0.0133633781272877	0.0133633781272877	0	0.0267267562545755	0.0133633781272877
FOXB1	0.106907025018302	0	0.046771823445507	0.00668168906364386	0	0	0	0	0	0	0	0
ANXA2	289.223592808888	0.621397082918879	8.11825221232729	19.2900363267398	0.641442150109811	5.96006664477033	0.113588714081946	0.0267267562545755	6.8086411558531	0.0334084453182193	0.153678848463809	3.56802195998582
RORA	100.278789467167	1.08243362831031	12.4680317927594	0.708259040746249	0.240540806291179	0.928754779846497	0.0734985797000825	0.0133633781272877	0.0601352015727948	0.0133633781272877	0	0.521171746964221
VPS13C	66.6765751661021	0.481081612582358	5.85984130881567	2.85308123017593	1.27620261115598	0.641442150109811	0.0534535125091509	0	0.253904184418467	0.00668168906364386	0.167042226591097	0.360811209436769
C2CD4A	4.16937397571377	0	0.0267267562545755	0.00668168906364386	0	0	0	0	0.00668168906364386	0	0	0
NPM1P47	0.00668168906364386	0	0	0	0	0	0	0	0	0	0	0
C2CD4B	33.8227100401652	0.00668168906364386	0.106907025018302	0.0334084453182193	0	0.00668168906364386	0	0.00668168906364386	0	0	0	0.260585873482111
TLN2	124.994357313586	0.0133633781272877	0.340766142245837	0.41426472194592	0.113588714081946	0.267267562545755	0.0334084453182193	0.0133633781272877	0.0935436468910141	0	0.00668168906364386	0.113588714081946
TPM1	143.382365616734	0.133633781272877	1.11584207362853	0.808484376700907	0.106907025018302	10.6172039221301	0.113588714081946	0.0400901343818632	0.374174587564056	0.00668168906364386	0.0133633781272877	0.567943570409728
LACTB	16.9380817763372	0.227177428163891	1.76396591280198	3.20052906148541	0.334084453182193	0.227177428163891	0.0133633781272877	0	0.12027040314559	0.0133633781272877	0.0267267562545755	0.0935436468910141
