NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
TGFBR2	0.00399300273805902	0.123853211009174	0.190864600326264	0.159351789331533	0.0937896070975919	0.275280898876405	0.0294117647058824	0.0166666666666667	0.695238095238095	0	0.333333333333333	1.59259259259259
PPFIBP1	0.133822634621235	0.00688073394495413	0.0138662316476346	0.0114787305874409	0.0240811153358682	0.412921348314607	0.0441176470588235	0.0166666666666667	1.02857142857143	0	0.0384615384615385	1.31111111111111
PRNP	0.199954365682994	0.0871559633027523	0.109094616639478	0.37947332883187	0.103929024081115	0.323033707865169	0.161764705882353	0.0666666666666667	1.41904761904762	0.217391304347826	0.115384615384615	0.244444444444444
NRXN3	0.0410328567082446	0	0.00142740619902121	0.00202565833896016	0.00760456273764259	0.0702247191011236	0.0147058823529412	0	0.59047619047619	0	0	0.111111111111111
THBS2	0.011028293276544	0	0.000203915171288744	0.00202565833896016	0	0.429775280898876	0	0	0.485714285714286	0	0	0.00740740740740741
ZCCHC24	0.000722543352601156	0.00458715596330275	0.00122349102773246	0.012829169480081	0	0.219101123595506	0	0	0.438095238095238	0	0	0.118518518518519
H2AJ	0.080050197748707	0.272935779816514	0.245309951060359	0.738014854827819	0.0975918884664132	0.837078651685393	0.25	0.166666666666667	1.15238095238095	0.217391304347826	0.153846153846154	0.459259259259259
DAG1	0.0631274718588379	0.0114678899082569	0.00856443719412724	0.0216070222822417	0.00887198986058302	0.134831460674157	0.0294117647058824	0	0.676190476190476	0	0.0384615384615385	0.155555555555556
ZEB2	0.219919379373289	0.474770642201835	0.0999184339314845	1.0067521944632	0.217997465145754	0.862359550561798	0.367647058823529	0.0333333333333333	1.6	0	0.371794871794872	0.155555555555556
QKI	0.239656221478552	0.135321100917431	0.0642332789559543	0.642808912896691	0.0633713561470216	0.446629213483146	0.382352941176471	0.0333333333333333	1.52380952380952	0.130434782608696	0.435897435897436	0.962962962962963
